language,length,count_words,average_word_length,count_ones,count_zeros,ratio_ones,ratio_zeros,frequency_11,frequency_00,entropy,valeur
"['0', '0000', '0100010', '0']",13,4,3.25,2,11,0.1538461538461538,0.8461538461538461,0,5,0.6193821946787638,0
"['1100010', '00', '1', '001', '01']",15,5,3.0,6,9,0.4,0.6,1,3,0.9709505944546686,0
"['1', '0001', '0000']",9,3,3.0,2,7,0.2222222222222222,0.7777777777777778,0,3,0.7642045065086203,1
"['110011', '1110']",10,2,5.0,7,3,0.7,0.3,3,1,0.8812908992306927,1
"['001101', '110110', '111011', '0', '11000', '1', '11001']",30,7,4.285714285714286,18,12,0.6,0.4,7,3,0.9709505944546686,0
"['1', '111', '1001000', '10', '00', '1', '0', '10']",19,8,2.375,9,10,0.4736842105263157,0.5263157894736842,2,3,0.9980008838722996,0
"['1100000', '0110110', '11', '0110', '011110', '001', '11', '001000', '0']",38,9,4.222222222222222,18,20,0.4736842105263157,0.5263157894736842,8,8,0.9980008838722996,0
"['110', '010010', '101', '11111', '01', '111', '1', '0', '1110111', '010']",34,10,3.4,23,11,0.6764705882352942,0.3235294117647059,8,2,0.9081783472997051,0
"['011', '11']",5,2,2.5,4,1,0.8,0.2,2,0,0.7219280948873623,1
"['0', '01000', '1010', '0011', '1', '000111', '0']",22,7,3.142857142857143,9,13,0.4090909090909091,0.5909090909090909,2,4,0.9760206482366148,0
"['1011010', '01', '0', '111', '00101', '10101']",23,6,3.8333333333333335,13,10,0.5652173913043478,0.4347826086956521,3,2,0.9876925088958034,0
"['1', '1011', '0', '11', '0001100', '010110', '001', '1000', '0', '1111010']",36,10,3.6,18,18,0.5,0.5,8,5,1.0,0
"['100', '111', '11101']",11,3,3.6666666666666665,8,3,0.7272727272727273,0.2727272727272727,3,1,0.8453509366224364,1
"['00', '0', '00001', '0001']",12,4,3.0,2,10,0.1666666666666666,0.8333333333333334,0,4,0.6500224216483541,0
"['1011', '011101', '1000', '001110', '1011', '11011', '1010110']",36,7,5.142857142857143,22,14,0.6111111111111112,0.3888888888888889,8,2,0.964078764808229,1
"['10', '11', '101', '1000111']",14,4,3.5,9,5,0.6428571428571429,0.3571428571428571,3,1,0.9402859586706313,1
"['0110001', '0011110', '000011', '00', '0', '010010']",29,6,4.833333333333333,11,18,0.3793103448275862,0.6206896551724138,4,7,0.9575534837147482,0
"['011', '000111', '1010']",13,3,4.333333333333333,7,6,0.5384615384615384,0.4615384615384615,3,1,0.9957274520849256,1
"['110111', '101']",9,2,4.5,7,2,0.7777777777777778,0.2222222222222222,3,0,0.7642045065086203,1
['1010'],4,1,4.0,2,2,0.5,0.5,0,0,1.0,1
"['101', '11101', '100']",11,3,3.6666666666666665,7,4,0.6363636363636364,0.3636363636363636,3,1,0.94566030460064,1
"['0', '11010', '0100111', '1001100', '0100', '001', '111', '1', '0111', '1100']",39,10,3.9,21,18,0.5384615384615384,0.4615384615384615,8,7,0.9957274520849256,0
"['1011', '101', '1000', '10110', '0000101', '0010']",27,6,4.5,12,15,0.4444444444444444,0.5555555555555556,3,4,0.9910760598382222,1
"['01', '0', '0001']",7,3,2.3333333333333335,2,5,0.2857142857142857,0.7142857142857143,0,2,0.863120568566631,0
['1111101'],7,1,7.0,6,1,0.8571428571428571,0.1428571428571428,2,0,0.5916727785823275,1
"['1111101', '111001', '0', '01011', '011', '10011', '1', '010001']",34,8,4.25,21,13,0.6176470588235294,0.3823529411764705,7,4,0.9596868937742168,0
['10111'],5,1,5.0,4,1,0.8,0.2,1,0,0.7219280948873623,1
['011'],3,1,3.0,2,1,0.6666666666666666,0.3333333333333333,1,0,0.9182958340544896,1
"['0100011', '1', '001101', '11100', '01', '01', '001001', '1000010']",36,8,4.5,16,20,0.4444444444444444,0.5555555555555556,5,7,0.9910760598382222,0
"['1001110', '1001001', '0000100', '0110010', '0001', '01']",34,6,5.666666666666667,13,21,0.3823529411764705,0.6176470588235294,2,9,0.9596868937742168,0
"['010111', '10000', '10100', '1', '11111', '000', '1100101', '0', '11']",35,9,3.888888888888889,19,16,0.5428571428571428,0.4571428571428571,7,5,0.9946937953613058,0
"['1', '0', '0', '01011', '0011111', '1111', '1110110', '011011', '111110', '0101100']",45,10,4.5,30,15,0.6666666666666666,0.3333333333333333,13,5,0.9182958340544896,0
"['0', '001000', '1', '1', '00110', '001001', '111010']",26,7,3.7142857142857144,11,15,0.4230769230769231,0.5769230769230769,4,5,0.9828586897127056,0
"['00', '10', '0011110', '10001', '00', '011', '11', '0111', '11110']",32,9,3.5555555555555554,18,14,0.5625,0.4375,7,4,0.9886994082884974,0
['10001'],5,1,5.0,2,3,0.4,0.6,0,1,0.9709505944546686,1
"['100', '01', '0000111', '10', '1', '101', '011110', '111010']",30,8,3.75,17,13,0.5666666666666667,0.4333333333333333,6,3,0.9871377743721864,0
"['110', '0010', '0101', '11', '001', '10010', '1']",22,7,3.142857142857143,11,11,0.5,0.5,3,4,1.0,0
"['110000', '1011011', '1100000', '1', '0101', '110', '10']",30,7,4.285714285714286,15,15,0.5,0.5,5,4,1.0,0
"['1', '110', '0001101', '000100', '1010100', '1', '1']",26,7,3.7142857142857144,12,14,0.4615384615384615,0.5384615384615384,3,5,0.9957274520849256,1
"['0001101', '1001', '11001', '1101111', '10', '000', '1100000', '00000']",40,8,5.0,17,23,0.425,0.575,7,10,0.983708262623186,0
"['1110', '01', '1010', '10100', '110', '10', '011100', '00011']",31,8,3.875,16,15,0.5161290322580645,0.4838709677419355,5,5,0.9992492479956564,0
"['0100', '101110', '1001110']",17,3,5.666666666666667,9,8,0.5294117647058824,0.4705882352941176,2,2,0.9975025463691152,1
"['010010', '0', '01', '010001', '0', '0', '0101000']",24,7,3.4285714285714284,7,17,0.2916666666666667,0.7083333333333334,0,5,0.8708644692353644,0
['1'],1,1,1.0,1,0,1.0,0.0,0,0,-0.0,1
"['110', '1000111', '11', '01000', '00', '00111', '01001', '0']",30,8,3.75,14,16,0.4666666666666667,0.5333333333333333,4,5,0.9967916319816366,0
"['0000', '1011100', '0101', '11']",17,4,4.25,8,9,0.4705882352941176,0.5294117647058824,2,3,0.9975025463691152,1
['100101'],6,1,6.0,3,3,0.5,0.5,0,1,1.0,1
"['011010', '0001010', '0']",14,3,4.666666666666667,5,9,0.3571428571428571,0.6428571428571429,1,3,0.9402859586706313,1
"['10', '0010000', '011010', '110']",18,4,4.5,7,11,0.3888888888888889,0.6111111111111112,2,3,0.964078764808229,1
"['001001', '1', '101', '001010']",16,4,4.0,7,9,0.4375,0.5625,1,3,0.9886994082884974,1
"['011', '1', '1001']",8,3,2.6666666666666665,5,3,0.625,0.375,2,1,0.954434002924965,1
"['11', '10', '000', '01110', '01', '00010', '1', '10011', '101101', '010']",34,10,3.4,17,17,0.5,0.5,5,5,1.0,0
"['001', '10']",5,2,2.5,2,3,0.4,0.6,1,1,0.9709505944546686,1
"['011100', '111011']",12,2,6.0,8,4,0.6666666666666666,0.3333333333333333,3,1,0.9182958340544896,1
"['011101', '11', '01001', '001', '10010', '101010', '0100001', '0']",35,8,4.375,16,19,0.4571428571428571,0.5428571428571428,3,6,0.9946937953613058,0
"['00', '1', '010111', '01', '10', '11001', '000100', '1101001', '1010', '0']",36,10,3.6,17,19,0.4722222222222222,0.5277777777777778,5,6,0.997772472089982,0
"['0010', '01', '010101', '00']",14,4,3.5,5,9,0.3571428571428571,0.6428571428571429,0,3,0.9402859586706313,0
"['0', '100000', '001111', '10000', '100', '000110']",27,6,4.5,9,18,0.3333333333333333,0.6666666666666666,3,7,0.9182958340544896,0
"['00', '1010111']",9,2,4.5,5,4,0.5555555555555556,0.4444444444444444,1,1,0.9910760598382222,1
['10'],2,1,2.0,1,1,0.5,0.5,0,0,1.0,1
"['0000', '0', '1011001', '00101', '1110000', '111', '10010', '10001', '11000']",42,9,4.666666666666667,18,24,0.4285714285714285,0.5714285714285714,6,9,0.9852281360342516,0
"['1000', '11111']",9,2,4.5,6,3,0.6666666666666666,0.3333333333333333,2,1,0.9182958340544896,1
"['01', '001']",5,2,2.5,2,3,0.4,0.6,0,1,0.9709505944546686,1
"['10101', '01011', '100010', '000000', '010', '011', '0011', '1100111']",39,8,4.875,18,21,0.4615384615384615,0.5384615384615384,5,8,0.9957274520849256,1
"['1', '10111', '1010', '1']",11,4,2.75,8,3,0.7272727272727273,0.2727272727272727,3,0,0.8453509366224364,1
"['00', '0110', '0010', '001', '010011', '001110']",25,6,4.166666666666667,10,15,0.4,0.6,3,5,0.9709505944546686,1
"['0001', '110', '111000']",13,3,4.333333333333333,6,7,0.4615384615384615,0.5384615384615384,2,2,0.9957274520849256,1
"['100', '1', '11111', '1101', '0', '10011', '0001101', '0010']",30,8,3.75,17,13,0.5666666666666667,0.4333333333333333,6,4,0.9871377743721864,0
"['00010', '01011', '0010', '1010011', '01000', '1111', '1011011', '1111']",41,8,5.125,23,18,0.5609756097560976,0.4390243902439024,8,5,0.9892452969285004,1
"['101', '00000', '1', '1010']",13,4,3.25,5,8,0.3846153846153846,0.6153846153846154,1,2,0.961236604722876,1
"['0', '0010', '00001', '11', '00', '1011011', '101010', '11', '1111000', '01']",38,10,3.8,19,19,0.5,0.5,6,6,1.0,0
"['111', '01100', '11010', '0010', '000100', '110', '110111', '000', '000110']",41,9,4.555555555555555,19,22,0.4634146341463415,0.5365853658536586,7,8,0.9961344835095796,0
"['100011', '1', '101100', '011', '1010']",20,5,4.0,11,9,0.55,0.45,4,2,0.9927744539878084,1
"['11101', '1100100', '00', '1100001']",21,4,5.25,10,11,0.4761904761904761,0.5238095238095238,3,5,0.998363672593813,1
"['00', '01', '0101110', '0', '11100', '101']",20,6,3.3333333333333335,10,10,0.5,0.5,2,3,1.0,0
"['11', '110011', '0010', '0111110', '0100111', '111', '110101']",35,7,5.0,23,12,0.6571428571428571,0.3428571428571428,9,5,0.927526588431676,0
"['1000000', '1001101', '0011000', '1010001']",28,4,7.0,10,18,0.3571428571428571,0.6428571428571429,2,7,0.9402859586706313,1
"['11', '010000']",8,2,4.0,3,5,0.375,0.625,1,2,0.954434002924965,1
"['100', '000', '10101', '0111101', '0', '1110010', '10010']",31,7,4.428571428571429,15,16,0.4838709677419355,0.5161290322580645,3,4,0.9992492479956564,0
"['1001', '100010']",10,2,5.0,4,6,0.4,0.6,1,2,0.9709505944546686,1
"['10001', '110', '11', '000011', '0001']",20,5,4.0,9,11,0.45,0.55,3,4,0.9927744539878084,0
"['0011', '11000', '0101', '1101', '00010', '0', '0']",24,7,3.4285714285714284,10,14,0.4166666666666667,0.5833333333333334,3,5,0.9798687566511528,0
"['111', '111110', '1000101', '11', '1', '00', '10101']",26,7,3.7142857142857144,17,9,0.6538461538461539,0.3461538461538461,6,2,0.9305861291319928,0
"['0010010', '1', '000000', '00000', '0', '001', '111100', '0000']",33,8,4.125,8,25,0.2424242424242424,0.7575757575757576,2,12,0.7990485210442682,0
"['000110', '001000', '0', '010', '11', '1111', '11', '01001', '11111', '1110']",38,10,3.8,22,16,0.5789473684210527,0.4210526315789473,9,5,0.9819407868640976,0
"['101001', '001', '00', '0001110', '000111', '111']",27,6,4.5,13,14,0.4814814814814814,0.5185185185185185,4,6,0.9990102708804812,0
['01'],2,1,2.0,1,1,0.5,0.5,0,0,1.0,1
"['01', '11', '1001100', '0101', '11101', '0000', '11', '100', '00100', '011']",37,10,3.7,18,19,0.4864864864864865,0.5135135135135135,7,7,0.9994730201859836,0
"['0', '0100101', '0110']",12,3,4.0,5,7,0.4166666666666667,0.5833333333333334,1,2,0.9798687566511528,1
"['101110', '1', '11111', '0000']",16,4,4.0,10,6,0.625,0.375,4,2,0.954434002924965,0
"['0010100', '1100', '1010011', '1', '11', '101']",24,6,4.0,13,11,0.5416666666666666,0.4583333333333333,4,4,0.99498482818597,0
"['01111', '0001010', '11', '01', '0011010', '1000001', '000', '1110', '010110', '0']",44,10,4.4,20,24,0.4545454545454545,0.5454545454545454,6,7,0.9940302114769564,0
"['10', '01', '0011']",8,3,2.6666666666666665,4,4,0.5,0.5,1,2,1.0,1
